animal,Tiene_Pelo,Tiene_Plumas,Nace_de_huevo,Toma_Leche,Vuela,Acuatico,Depredador,Dentado,Vertebrado,Respira,Venenoso,Tiene_Aletas,Cant_Patas,Tiene_Cola,Domestico,Tamano_Gato,Clase
oso_hormiguero,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mamifero
antilope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
robalo,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
oso,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mamifero
jabali,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
bufalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
becerro,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
carpa,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Pez
pez_gato,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
conejillo_de_indias,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mamifero
chita,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
gallina,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Ave
coto,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
almeja,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrado
cangrejo,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrado
langostino,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrado
cuervo,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Ave
ciervo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
perro_marino,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Pez
delfin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mamifero
paloma,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Ave
pato,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Ave
elefante,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
flamenco,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Ave
pulga,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Insecto
rana,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Anfibio
rana,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Anfibio
murcielago,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mamifero
jirafa,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
mono,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mamifero
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insecto
cabra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
gorila,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mamifero
gaviota,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Ave
merluza,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Pez
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mamifero
liebre,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mamifero
halcon,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Ave
arenque,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
abeja,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Insecto
